expiry,instrument_key,trading_symbol,strike,option_type,lot_size,tick_size,underlying_key,weekly
2026-08-11,NSE_FO|41036|11-08-2026,NIFTY 24950 PE 11 AUG 26,24950.0,PE,65,5.0,NSE_INDEX|Nifty 50,True
2026-08-11,NSE_FO|41037|11-08-2026,NIFTY 25000 CE 11 AUG 26,25000.0,CE,65,5.0,NSE_INDEX|Nifty 50,True
2026-08-11,NSE_FO|41038|11-08-2026,NIFTY 25000 PE 11 AUG 26,25000.0,PE,65,5.0,NSE_INDEX|Nifty 50,True
2026-08-11,NSE_FO|41039|11-08-2026,NIFTY 25050 CE 11 AUG 26,25050.0,CE,65,5.0,NSE_INDEX|Nifty 50,True
2026-08-11,NSE_FO|41040|11-08-2026,NIFTY 25050 PE 11 AUG 26,25050.0,PE,65,5.0,NSE_INDEX|Nifty 50,True
2026-08-11,NSE_FO|41041|11-08-2026,NIFTY 25100 CE 11 AUG 26,25100.0,CE,65,5.0,NSE_INDEX|Nifty 50,True
2026-08-11,NSE_FO|41042|11-08-2026,NIFTY 25100 PE 11 AUG 26,25100.0,PE,65,5.0,NSE_INDEX|Nifty 50,True
2026-08-11,NSE_FO|41043|11-08-2026,NIFTY 25150 CE 11 AUG 26,25150.0,CE,65,5.0,NSE_INDEX|Nifty 50,True
2026-08-11,NSE_FO|41044|11-08-2026,NIFTY 25150 PE 11 AUG 26,25150.0,PE,65,5.0,NSE_INDEX|Nifty 50,True
2026-08-11,NSE_FO|41045|11-08-2026,NIFTY 25200 CE 11 AUG 26,25200.0,CE,65,5.0,NSE_INDEX|Nifty 50,True
2026-08-11,NSE_FO|41046|11-08-2026,NIFTY 25200 PE 11 AUG 26,25200.0,PE,65,5.0,NSE_INDEX|Nifty 50,True
2026-08-11,NSE_FO|41047|11-08-2026,NIFTY 25250 CE 11 AUG 26,25250.0,CE,65,5.0,NSE_INDEX|Nifty 50,True
2026-08-11,NSE_FO|41048|11-08-2026,NIFTY 25250 PE 11 AUG 26,25250.0,PE,65,5.0,NSE_INDEX|Nifty 50,True
2026-08-11,NSE_FO|41049|11-08-2026,NIFTY 25300 CE 11 AUG 26,25300.0,CE,65,5.0,NSE_INDEX|Nifty 50,True
