fetch_time,expiry,strike,spot_price,pcr,ce_instrument_key,ce_ltp,ce_volume,ce_oi,ce_prev_oi,ce_oi_change,ce_close,ce_bid,ce_bid_qty,ce_ask,ce_ask_qty,ce_iv,ce_delta,ce_gamma,ce_theta,ce_vega,ce_pop,pe_instrument_key,pe_ltp,pe_volume,pe_oi,pe_prev_oi,pe_oi_change,pe_close,pe_bid,pe_bid_qty,pe_ask,pe_ask_qty,pe_iv,pe_delta,pe_gamma,pe_theta,pe_vega,pe_pop
2026-08-23 21:57:18,2026-09-01,24000.0,24252.0,4.8498,NSE_FO|46985,355.4,723515,346580.0,318630.0,27950.0,364.65,355.2,195,357.8,325,10.18,0.7569,0.0007,-6.1097,13.1983,43.9,NSE_FO|46986,46.8,3999515,1680835.0,1130545.0,550290.0,54.4,46.85,65,47.15,130,9.02,-0.2166,0.0008,-5.0744,12.3717,18.56
2026-08-23 21:57:18,2026-09-01,24050.0,24252.0,9.0277,NSE_FO|46987,318.75,63570,44655.0,48295.0,-3640.0,326.7,312.5,195,318.35,65,10.17,0.7187,0.0008,-6.5797,14.2243,42.67,NSE_FO|46988,58.65,792350,403130.0,396825.0,6305.0,65.4,57.55,585,58.7,585,8.92,-0.257,0.0009,-5.514,13.593,21.34
2026-08-23 21:57:18,2026-09-01,24100.0,24252.0,2.7661,NSE_FO|46989,280.95,874575,368160.0,289055.0,79105.0,288.9,276.65,65,280.1,325,9.96,0.681,0.0009,-6.8208,15.0563,41.4,NSE_FO|46990,69.8,2935855,1018355.0,577395.0,440960.0,77.3,69.7,65,70.1,195,8.75,-0.2969,0.0009,-5.8068,14.5891,23.91
2026-08-23 21:57:18,2026-09-01,24150.0,24252.0,5.5169,NSE_FO|46991,244.75,341510,80600.0,101335.0,-20735.0,254.15,243.9,195,245.1,325,9.74,0.64,0.0009,-6.984,15.773,39.92,NSE_FO|46992,85.05,1452360,444665.0,202345.0,242320.0,91.4,84.55,65,85.75,130,8.68,-0.3446,0.001,-6.1314,15.5266,26.8
2026-08-23 21:57:18,2026-09-01,24200.0,24252.0,1.29,NSE_FO|46993,211.15,4555525,1428180.0,1185665.0,242515.0,220.5,211.15,2405,212.0,1040,9.54,0.595,0.001,-7.0935,16.3404,38.18,NSE_FO|46994,101.75,6654960,1842360.0,1403805.0,438555.0,108.35,100.9,195,101.75,65,8.53,-0.3947,0.0011,-6.2965,16.2299,29.6
2026-08-23 21:57:18,2026-09-01,24250.0,24252.0,0.9872,NSE_FO|46995,179.95,2589015,595985.0,352430.0,243555.0,190.6,180.35,195,181.9,195,9.37,0.5468,0.001,-7.1178,16.7033,36.19,NSE_FO|46996,120.3,2849795,588380.0,233740.0,354640.0,127.2,119.45,65,120.95,195,8.38,-0.4484,0.0011,-6.3606,16.6786,32.39
2026-08-23 21:57:18,2026-09-01,24300.0,24252.0,0.8459,NSE_FO|46997,153.85,5776875,2031965.0,1271205.0,760760.0,161.7,153.1,195,154.0,130,9.35,0.4964,0.001,-7.1494,16.8186,33.93,NSE_FO|46998,143.9,5630625,1718860.0,1019200.0,699660.0,149.75,143.45,2340,143.9,130,8.33,-0.5048,0.0011,-6.37,16.8181,35.08
2026-08-23 21:57:18,2026-09-01,24350.0,24252.0,0.3296,NSE_FO|46999,129.4,1278680,502515.0,206115.0,296400.0,136.65,128.8,195,129.45,455,9.27,0.4455,0.001,-7.0279,16.6621,31.47,NSE_FO|47000,168.95,700245,165620.0,91650.0,73970.0,173.9,168.05,65,168.85,195,8.24,-0.562,0.0011,-6.227,16.6155,37.58
2026-08-23 21:57:18,2026-09-01,24400.0,24252.0,0.5638,NSE_FO|47001,106.2,3050060,1221870.0,919035.0,302835.0,113.85,106.1,195,107.55,65,9.16,0.3944,0.001,-6.7625,16.2265,28.82,NSE_FO|47002,194.15,1925560,688870.0,508105.0,180765.0,201.75,194.3,130,197.55,390,7.95,-0.6221,0.0011,-5.7944,16.0251,39.97
2026-08-23 21:57:18,2026-09-01,24450.0,24252.0,0.236,NSE_FO|47003,87.2,1190865,261430.0,382005.0,-120575.0,94.6,86.15,195,88.7,65,9.06,0.3442,0.001,-6.3977,15.5192,26.01,NSE_FO|47004,224.0,176345,61685.0,64480.0,-2795.0,230.75,223.7,325,231.05,195,7.76,-0.6812,0.0011,-5.3124,15.0532,42.11
